Date,Algerian dinar(DZD),Australian dollar(AUD),Botswana pula(BWP),Brazilian real(BRL),Brunei dollar(BND),Canadian dollar(CAD),Chilean peso(CLP),Chinese yuan(CNY),Czech koruna(CZK),Danish krone(DKK),Euro(EUR),Indian rupee(INR),Israeli New Shekel(ILS),Japanese yen(JPY),Korean won(KRW),Kuwaiti dinar(KWD),Malaysian ringgit(MYR),Mauritian rupee(MUR),Mexican peso(MXN),New Zealand dollar(NZD),Norwegian krone(NOK),Omani rial(OMR),Peruvian sol(PEN),Philippine peso(PHP),Polish zloty(PLN),Qatari riyal(QAR),Russian ruble(RUB),Saudi Arabian riyal(SAR),Singapore dollar(SGD),South African rand(ZAR),Swedish krona(SEK),Swiss franc(CHF),Thai baht(THB),Trinidadian dollar(TTD),U.A.E. dirham(AED),U.K. pound(GBP),U.S. dollar(USD),Uruguayan peso(UYU)
26-Aug-2021,0.00519645,0.511158,0.0626984,0.134232,0.519863,0.55623,0.000898671,0.108552,0.032416,0.111344,0.828027,0.00947626,0.218468,0.00639715,0.000603246,2.3386,0.167884,0.01646,0.0345754,0.490117,0.0799135,1.83013,0.172008,0.0140529,0.18084,0.19332,0.00951045,0.18765,0.519863,0.0472073,0.0809383,0.768594,0.02148,0.103876,0.19161,0.966724,0.703686,0.0165173
27-Aug-2021,0.00519892,0.510319,0.0628833,0.134916,0.520574,0.557325,0.000896976,0.108705,0.0324029,0.111372,0.828186,0.00949885,0.217877,0.00640164,0.000602842,,0.167902,0.0164724,0.0348099,0.488771,0.0799605,,0.172975,0.014111,0.180661,,0.00951767,,0.520574,0.0472507,0.0808937,0.767248,0.0215431,0.10415,,0.96522,0.70418,0.0165573
30-Aug-2021,0.00519606,0.512932,0.0631939,0.135321,0.521892,0.557753,0.000896156,0.108689,0.0324457,0.111556,0.829535,0.00956366,0.218168,0.00640547,0.000600389,2.33728,0.16861,0.0164459,0.034902,0.492407,0.0810133,1.82818,,,0.181525,0.193114,0.00955408,0.18745,0.521892,0.0480195,0.0813009,0.768446,0.0216241,0.103891,0.191405,,0.702936,0.0165654
31-Aug-2021,0.00519402,0.515006,0.0633313,0.136528,0.522217,0.556488,0.00090019,0.108687,0.0325523,0.111739,0.83089,0.0095979,,0.00639047,0.00060299,2.33457,,0.0164271,0.0350002,0.49331,0.0809837,1.82606,0.172046,0.0140312,0.182911,0.19289,0.00958159,0.187232,0.522217,0.0482785,0.0817142,0.768227,0.0217119,,0.191183,0.96675,0.702121,0.0165345
01-Sep-2021,0.00518104,0.51467,0.0635169,0.136246,0.522434,0.557326,0.000906444,0.108691,0.0326922,0.111657,0.830287,0.00963037,0.219363,0.0063724,0.000604249,2.33623,0.16951,0.0164215,0.0351988,0.494856,0.0808987,1.82736,0.17238,0.0141196,0.183749,0.193028,0.0095998,0.187366,0.522434,0.048632,0.0813379,0.766593,0.0217368,0.104257,0.19132,0.966877,0.702621,0.0165163
07-Sep-2021,0.00514929,0.520483,0.064026,,0.522712,0.555638,0.000910351,0.108583,0.0327177,0.111845,0.831707,0.00956956,,0.0063868,0.000605954,2.33368,0.169124,0.0164192,0.035162,0.501058,0.0807562,1.82385,0.171042,0.0140451,0.184346,0.192657,0.0095814,0.187006,0.522712,0.0489726,0.0820258,0.767381,0.0215782,0.103686,0.190952,0.967158,0.701271,0.016466
08-Sep-2021,0.00515259,0.518783,0.0638642,0.133778,0.522013,0.554258,0.000903125,0.108718,0.0327221,0.111745,0.830938,0.00953916,,0.00637142,0.000606768,2.33647,0.169019,0.0164442,0.0352376,0.499603,0.0809486,1.82725,0.171905,0.0140662,0.183858,0.193016,0.00956641,0.187354,0.522013,0.0491644,0.0817302,0.762883,0.0214331,0.103896,0.191308,0.967097,0.702577,0.0164542
09-Sep-2021,0.00514692,0.515826,0.0640132,0.132888,0.521509,0.554685,0.000891289,0.108705,0.0327119,0.111739,0.830908,0.00952519,0.219138,0.00636932,0.000602747,2.33422,0.169214,0.0164029,0.035215,0.497646,0.0809469,1.82549,0.171446,0.0139999,0.183302,0.192829,0.00959809,0.187173,0.521509,0.0496862,0.0813881,0.763432,0.0214399,0.10367,0.191123,0.969463,0.701899,0.0164437
10-Sep-2021,0.0051461,0.517802,0.0641115,,0.523345,0.555331,0.000886461,0.108914,0.032842,0.111694,0.830574,,0.219131,0.0063895,0.000599469,,0.169368,0.0163818,,0.498022,0.0814065,,0.171375,,0.182657,,0.00964045,,0.523345,0.0498236,0.0815959,0.764261,0.0214599,0.103453,,0.973071,0.701439,0.0164102
13-Sep-2021,,,,,,,,0.108942,,,0.828115,,,0.00639309,,,,,,,,,,,,,,0.187462,,,,,,,,0.972121,0.702984,
